target_id 	 SRR5133628 	 SRR5133629 	 SRR5133630 	        SRR5133631 	 SRR5133632 	 SRR5133633 	 SRR5133634 	 SRR5133635 	 SRR5133636 
CL1034.Contig3	298	355	381	329	393	359	356	362	347
CL1034.Contig4	420	542	540	607	674	672	575	607	547
CL1035.Contig1	47	59	59	79	42	72	83	72	53
CL1035.Contig2	22	0	19	29	7	0	24	8	6
CL1036.Contig1	0	14	9	1	13	8	9	0	14
CL1036.Contig2	20	5	11	14	0	19	8	16	10
CL1036.Contig3	33	7	19	30	21	23	31	29	24
CL1036.Contig4	8	28	11	0	23	6	0	12	0
CL1037.Contig1	84	81	59	75	73	57	71	85	88
CL1037.Contig2	26	42	29	29	27	31	34	37	37
CL1037.Contig3	11	6	9	9	12	12	15	4	17
CL1038.Contig1	0	0	0	0	0	0	18	1	0
CL1038.Contig10	4	1	0	8	0	9	1	3	0
CL1038.Contig2	7	1	0	18	2	3	2	9	1
CL1038.Contig3	0	0	0	0	0	0	0	0	0
CL1038.Contig4	1	3	8	3	7	4	3	3	6
CL1038.Contig5	0	0	0	0	0	0	0	0	0
CL1038.Contig6	205	206	204	198	205	225	211	195	212
CL1038.Contig7	0	0	2	1	3	2	6	0	0
CL1038.Contig8	3	0	0	32	0	3	15	14	0
CL1038.Contig9	2	0	0	0	0	1	0	0	0
CL1039.Contig1	197	188	240	217	239	285	201	189	208
CL1039.Contig2	29	22	24	31	33	27	32	22	32
CL104.Contig1	0	0	0	0	0	0	0	0	0
CL104.Contig10	18	13	7	8	20	5	0	16	14
CL104.Contig11	10	32	25	12	16	26	0	2	31
CL104.Contig12	0	0	0	0	8	6	3	5	0
CL104.Contig13	0	0	0	0	0	0	0	0	0
CL104.Contig14	0	0	0	0	0	0	0	0	0
CL104.Contig15	0	0	0	0	0	0	0	0	0
CL104.Contig16	0	0	0	0	0	0	0	0	0
CL104.Contig17	0	0	9	0	0	0	0	0	0
CL104.Contig18	19	19	17	20	19	13	21	20	13
CL104.Contig19	0	0	0	0	0	0	0	0	0
CL104.Contig2	26	41	30	24	35	45	16	26	37
CL104.Contig20	0	0	0	0	0	0	0	0	0
CL104.Contig21	0	0	0	0	0	0	0	0	0
CL104.Contig22	3	8	18	3	0	16	23	0	8
CL104.Contig23	0	0	0	0	0	0	0	0	0
CL104.Contig24	0	0	0	0	0	0	0	0	0
CL104.Contig25	24	16	18	18	30	18	34	15	29
CL104.Contig26	16	10	5	7	7	8	15	9	19
CL104.Contig27	0	13	5	3	20	0	1	9	0
CL104.Contig28	0	0	0	0	0	0	0	0	0
CL104.Contig29	22	0	5	17	19	0	33	33	0
CL104.Contig3	11	17	6	16	14	10	15	14	12
CL104.Contig30	7	0	3	7	0	8	0	0	6
CL104.Contig31	0	0	0	0	0	0	0	0	0
CL104.Contig32	0	0	0	0	0	0	0	0	0
CL104.Contig33	0	0	0	0	0	0	0	0	0
CL104.Contig34	0	0	12	0	3	7	9	0	0
CL104.Contig35	0	12	3	3	2	2	0	0	13
CL104.Contig36	0	0	0	0	0	0	0	2	0
CL104.Contig37	0	0	0	0	0	0	0	0	0
CL104.Contig38	5	2	1	1	0	0	3	0	5
CL104.Contig39	29	31	46	48	32	42	30	24	44
CL104.Contig4	0	0	0	0	0	0	0	0	0
CL104.Contig40	1	0	0	0	0	0	0	0	0
CL104.Contig41	10	3	14	8	7	11	4	7	2
CL104.Contig42	5	0	3	0	0	0	0	0	0
CL104.Contig43	0	0	0	0	0	0	0	0	0
CL104.Contig44	0	0	0	0	0	0	0	0	0
CL104.Contig45	0	1	0	0	0	0	0	0	0
CL104.Contig5	0	0	1	6	9	7	4	0	0
CL104.Contig6	4	1	0	1	0	0	6	0	2
CL104.Contig7	26	33	10	30	26	9	53	61	20
CL104.Contig8	4	3	3	2	0	5	0	24	0
CL104.Contig9	5	0	3	9	0	7	0	0	2
CL1040.Contig1	22	137	13	61	26	22	3	616	165
CL1040.Contig2	41	12	64	28	90	25	50	475	12
CL1041.Contig1	14	4	14	2	24	13	2	19	4
CL1041.Contig2	29	10	25	6	32	34	7	21	18
CL1042.Contig1	3	5	5	10	12	18	14	9	16
CL1042.Contig2	37	43	62	52	48	48	51	51	31
CL1043.Contig1	423	362	472	304	516	406	286	336	341
CL1043.Contig2	495	341	454	354	414	426	382	307	368
CL1043.Contig3	512	364	681	453	995	699	441	566	342
CL1044.Contig1	88	65	138	66	62	125	65	102	69
CL1044.Contig2	0	0	0	0	0	0	0	0	0
CL1044.Contig3	415	346	430	265	350	317	340	281	373
CL1044.Contig4	58	54	116	53	67	87	63	59	42
CL1045.Contig1	78	79	80	87	81	78	78	86	84
CL1045.Contig2	0	0	8	12	9	9	7	4	4
CL1046.Contig1	0	0	0	0	3	0	0	0	0
CL1046.Contig2	0	0	7	0	2	0	0	0	7
