baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
CRO_T112592	34.76159301	-0.198492911	0.406140342	-0.488729857	0.625032963	0.9998771
CRO_T123927	135.6066999	-0.106811495	0.218556941	-0.488712436	0.625045298	0.9998771
CRO_T117697	56.07096885	-0.157089057	0.32143556	-0.488710884	0.625046397	0.9998771
CRO_T102172	20.73269404	-0.272179946	0.557140933	-0.488529796	0.625174626	0.9998771
CRO_T127843	36.71281028	-0.189915041	0.388797505	-0.488467745	0.625218567	0.9998771
CRO_T131840	42.09060917	-0.180354143	0.369273369	-0.488402787	0.625264568	0.9998771
CRO_T137862	14.58661338	-0.305727719	0.626466966	-0.488018899	0.625536454	0.9998771
CRO_T127860	17.58742664	-0.270988316	0.555284238	-0.488017302	0.625537586	0.9998771
CRO_T121434	58.0477239	-0.15362484	0.314862113	-0.487911481	0.625612542	0.9998771
CRO_T138287	98.52758176	-0.121359277	0.248790404	-0.487797257	0.625693455	0.9998771
CRO_T108685	24.37554955	-0.239428721	0.490911219	-0.487723058	0.625746017	0.9998771
CRO_T117718	259.7530497	-0.092520105	0.189704162	-0.487707301	0.62575718	0.9998771
CRO_T100023	28.34168107	-0.213926447	0.438929825	-0.487381889	0.625987726	0.9998771
CRO_T132969	21.97001768	-0.243784589	0.500624457	-0.486961005	0.626285966	0.9998771
CRO_T127809	41.14084658	-0.187135198	0.384714254	-0.486426474	0.626664824	0.9998771
CRO_T103881	51.44502329	-0.186383095	0.383486232	-0.486022911	0.626950922	0.9998771
CRO_T121372	39.72575837	-0.183310395	0.377560758	-0.485512309	0.627312984	0.9998771
CRO_T119321	14.18295265	-0.296755066	0.611455441	-0.485325742	0.627445298	0.9998771
CRO_T137796	22.97277863	-0.236283148	0.48694259	-0.485238204	0.627507385	0.9998771
CRO_T127355	39.12219806	-0.191666627	0.395232916	-0.484946014	0.627714641	0.9998771
CRO_T133127	7.000692328	-0.417167201	0.860380169	-0.484863803	0.62777296	1
CRO_T137911	67.07463953	-0.145936157	0.30111056	-0.484659712	0.627917749	0.9998771
CRO_T124237	41.71920626	-0.177798203	0.366901844	-0.484593375	0.627964814	0.9998771
